id_inventario,producto,almacen,stock_actual,fecha_reabastecimiento,estado_producto
3a3ab459-e10c-42db-953f-bcea8153c438,Impresora,US02,20,2025-05-28,Caducado
08ed60b1-47c4-48f4-8fe8-591a7d54b214,Monitor,US02,20,2025-05-29,Caducado
13c5a696-23f7-465f-b93b-663bf924cacd,Smartphone,US02,1000,2025-04-02,Dañado
a2bcc1a9-416e-464e-ae06-a9dfc45a407a,Tablet,MX01,20,2025-05-01,Bueno
57ca6a66-3034-4972-9e93-4317dee08e5d,Impresora,US02,20,2025-03-29,Bueno
add9f58e-ee05-4d49-9518-9662291acc22,Tablet,MX01,20,2025-04-24,Bueno
a1126d4e-d65c-404b-85ab-a5c1862dcccd,Tablet,MX01,50,2025-05-05,Caducado
8892b40b-756e-4326-b6e6-6f6049d88b13,Smartphone,US02,5,2025-05-13,Dañado
b209e2b2-c71e-4a2a-ac1c-d86d0b4f9f23,Laptop,MX01,5,2025-04-24,Caducado
1baa455c-7210-478b-b858-1dbab2df845a,Laptop,MX01,1000,2025-04-22,Bueno
fd483410-3d19-4712-ae3d-b7796f6bc47e,Monitor,US02,1000,2025-04-30,Bueno
b56d948b-be20-4bb2-8b9e-4804697ef0d9,Laptop,CN03,50,2025-06-08,Caducado
39b57339-31cc-4a4b-ad00-8694868cc667,Smartphone,MX01,5,2025-04-10,Bueno
24e09ab0-2756-4444-b45c-d0940a676b67,Monitor,US02,5,2025-06-13,Dañado
859e0afa-1b14-4cd6-99ac-173e757ce722,Laptop,CN03,5,2025-06-17,Bueno
a0d536c3-4e56-4813-986e-9dd8f4b3251d,Smartphone,US02,5,2025-05-15,Bueno
7d366ce5-2239-4112-a771-7c37d565f61f,Laptop,MX01,5,2025-06-22,Caducado
955c2195-551a-4b51-8640-a766b66acdd7,Impresora,US02,50,2025-05-09,Bueno
af310063-7184-4780-a8ea-2d48f6863c39,Monitor,US02,1000,2025-06-23,Dañado
eeeaa1bc-a028-4341-8b94-793c01806c4b,Monitor,CN03,1000,2025-05-14,Caducado
f002b0c7-2fa1-4391-b118-9dc5e681153d,Smartphone,CN03,20,2025-04-26,Dañado
a08ccd72-0105-43d2-a80f-02f30eaadf16,Monitor,CN03,0,2025-06-11,Bueno
9331c3b3-9218-4d77-88a6-f507e6e965f5,Impresora,CN03,1000,2025-05-06,Caducado
7b554d8c-e624-4d16-931b-c59da4986366,Impresora,US02,20,2025-05-17,Caducado
13ce9e16-b13e-437f-9179-f605ee6db6f9,Smartphone,US02,5,2025-06-16,Caducado
c250f978-53dc-4869-9c58-11eed678b5a8,Monitor,CN03,1000,2025-05-31,Bueno
24212720-cbcd-46a5-b924-2157b6da18c4,Laptop,MX01,5,2025-04-24,Caducado
b9ac31d9-f49c-4673-8a28-f408fdb46586,Impresora,CN03,20,2025-06-21,Caducado
aa113984-b786-4ed9-b075-f40f7913a0fc,Laptop,US02,20,2025-04-18,Bueno
518c401d-abcc-44bb-a92f-e027c79d4ce2,Tablet,MX01,0,2025-04-27,Dañado
e57598b7-0157-4921-96f7-b358062da682,Tablet,US02,50,2025-05-20,Caducado
e172172d-04a4-42aa-90e5-a176203e6beb,Smartphone,US02,20,2025-06-03,Caducado
14cafb87-3119-4937-bdb1-256ff8428534,Impresora,US02,20,2025-05-19,Dañado
f54a85d3-04ee-4405-9410-6dbeebf6ee95,Laptop,CN03,0,2025-03-25,Caducado
27c1783c-8a51-4bcc-8c4b-671bd64b54b3,Monitor,US02,5,2025-04-26,Dañado
8f95b81e-f4e3-4faa-9a32-dd7d2459c3d2,Laptop,CN03,0,2025-04-30,Caducado
6be11024-8354-4cea-9bd9-fdfda4dd628b,Tablet,US02,50,2025-06-02,Dañado
3b8c4c89-c2cc-4dc4-b8c4-976b745e43fd,Laptop,MX01,50,2025-05-07,Bueno
24c41b11-5820-4278-9066-8d048ebe9a95,Smartphone,US02,5,2025-04-26,Bueno
68a794ce-f9b6-481b-af27-9eff282c747d,Tablet,MX01,1000,2025-05-14,Bueno
9d19a756-2afe-46eb-b03f-6ffd855180ed,Monitor,MX01,5,2025-05-21,Caducado
e9809829-28b5-4d44-b5f7-c22434529bff,Laptop,US02,20,2025-06-04,Bueno
5e6739cf-6d79-464f-933b-3e69ec698f29,Monitor,US02,20,2025-05-25,Caducado
dae5198a-0415-4026-a5e3-6aee16a1e551,Tablet,CN03,50,2025-06-15,Caducado
b24cb140-d775-4ae6-a0fd-d3333197b3d6,Laptop,MX01,50,2025-05-26,Caducado
cbd0b116-d497-4475-88af-4d74b5821b5c,Smartphone,US02,50,2025-05-13,Dañado
03a1d9df-28de-4274-b076-7f5b9289c816,Monitor,MX01,50,2025-05-20,Dañado
b0f22d18-f79d-4a3c-affa-7d20e2caa7db,Impresora,MX01,1000,2025-05-16,Dañado
52f49772-c9ae-4d04-93de-d72aecdd91e1,Impresora,US02,1000,2025-05-18,Caducado
265c5808-3f9c-4831-8cfd-8e0ac704e08f,Tablet,CN03,20,2025-04-24,Caducado
31466490-6b05-4705-b7d8-1650c909213e,Monitor,US02,1000,2025-05-19,Bueno
740808c5-45a5-4e7b-9fed-976e5d4a3fbb,Laptop,MX01,0,2025-04-05,Bueno
41156b83-0431-4d6a-8853-5ca243fdf193,Smartphone,MX01,1000,2025-04-15,Dañado
b95c18ee-1eab-4afe-bc17-ea2fd7e6a05e,Monitor,MX01,1000,2025-05-04,Dañado
a0400d74-fc6a-4dcc-8791-57649aad3b2b,Monitor,US02,50,2025-04-07,Dañado
bed24c0c-e571-48c3-a30a-1ca25406a3df,Smartphone,US02,1000,2025-06-23,Bueno
cb6fd644-5498-4dcd-8158-26e9b240d0b9,Tablet,CN03,20,2025-03-31,Bueno
71e09776-b176-4dc8-8b0e-53d21ef6c235,Laptop,MX01,50,2025-05-11,Caducado
7a2e35d9-d939-4f2a-834b-27f106ac440f,Laptop,US02,50,2025-04-11,Caducado
974fe8c9-c80f-4954-a372-ed600debeede,Tablet,MX01,1000,2025-06-13,Dañado
7e89b333-b72c-471c-9a27-49b496ad8b76,Monitor,MX01,5,2025-05-09,Dañado
75b266d7-e69d-4d45-9d17-2d71214b6b18,Smartphone,CN03,50,2025-05-19,Bueno
9e519446-fd74-4062-9632-45e8eb1f2fe8,Smartphone,CN03,50,2025-04-03,Dañado
2e27ee52-df65-4ca4-99b9-22417464db63,Smartphone,CN03,0,2025-05-03,Caducado
4da6e7a5-3c4d-40b1-bd23-a0031c70c7dd,Laptop,US02,20,2025-05-28,Caducado
e5d2adec-b7cb-4547-8d60-a4d17df38e5d,Impresora,CN03,20,2025-04-01,Caducado
c2744b37-9596-4aaf-b307-d35a37aa9a1a,Smartphone,CN03,1000,2025-04-29,Bueno
6ec96787-0dd6-4c8c-9a7f-85fb6e04e390,Impresora,US02,5,2025-04-20,Caducado
450a2963-c21b-4b68-b141-f71527b0a693,Monitor,CN03,1000,2025-04-11,Bueno
79df196d-81f2-45b6-aabc-1e77f551c18d,Tablet,CN03,1000,2025-06-06,Dañado
c5f68d6f-e8d0-48a3-93dd-a9112e383455,Laptop,CN03,1000,2025-05-05,Dañado
5313a538-d12f-461c-a3b0-04a0c435c22b,Tablet,US02,50,2025-04-23,Dañado
1c4c66b8-1962-40e8-84c1-e42325320e04,Tablet,MX01,50,2025-04-04,Bueno
6d7576b0-2847-4256-acb9-b1f589602fcf,Tablet,CN03,5,2025-04-02,Dañado
ba5bc06b-ddf3-499b-a033-23f6ed4a0a91,Smartphone,MX01,50,2025-04-10,Caducado
826cf6e4-365c-43ab-996e-4689fa280d76,Impresora,US02,50,2025-04-28,Bueno
2cbf2f05-b58e-4251-a5d5-b9f10a2ff4a5,Smartphone,CN03,1000,2025-06-22,Caducado
4ad5622c-6b94-4898-ac4e-c8df5a4b8b9c,Smartphone,CN03,1000,2025-06-16,Bueno
39df74c4-4de2-4244-a10c-96a805786824,Tablet,CN03,50,2025-06-19,Bueno
287529dd-65be-4a95-a0b8-fb149f9f11a9,Tablet,CN03,20,2025-06-03,Caducado
6023dffe-5156-4842-9c94-f374b729f5e4,Smartphone,US02,5,2025-05-13,Bueno
1df747f3-ad8f-4326-8fdc-5fcf070c379c,Impresora,MX01,5,2025-04-11,Dañado
99f54741-5d41-467b-ac68-b73b3b4813e3,Tablet,CN03,20,2025-05-16,Dañado
392265b3-cefe-41d6-8c9d-ae9bb39906f3,Smartphone,US02,0,2025-06-09,Caducado
f30edb2f-959f-40b1-888a-6fae10e32d81,Impresora,CN03,0,2025-06-19,Dañado
597f13a9-db6c-4150-bb9f-25cef5323306,Laptop,US02,0,2025-06-11,Caducado
1e04dc17-ad3e-419a-b837-bf0b07b2eddf,Monitor,CN03,0,2025-04-07,Dañado
30030754-985d-4443-b401-d90dc84d218e,Laptop,US02,50,2025-05-23,Caducado
9586684d-4148-4d1a-9817-00258425f27d,Smartphone,CN03,50,2025-04-04,Bueno
a4f227e3-2eda-4908-86d5-25cb2f21b295,Smartphone,US02,50,2025-04-15,Bueno
d1510678-046a-4431-8189-d0f923101651,Impresora,CN03,5,2025-05-15,Bueno
50bb872f-1375-40f3-a39c-88dacf29af2d,Tablet,CN03,0,2025-05-07,Bueno
87e64348-116e-42c4-86ab-170cff6c3d7e,Tablet,US02,50,2025-05-13,Dañado
485a6b39-1e9b-4b24-b5e2-d95e9e975c58,Tablet,CN03,0,2025-06-07,Bueno
188c1ebb-fc74-457f-b773-50c5564268a6,Smartphone,MX01,0,2025-05-02,Dañado
308a0621-a3b0-4058-b469-70957ee1edf5,Tablet,MX01,1000,2025-05-30,Dañado
bd83fc82-d3ff-40e6-ac7e-d5cab073ce54,Tablet,MX01,0,2025-05-17,Dañado
79d6f53d-4b60-4298-bd38-1c951e74e5d3,Impresora,MX01,1000,2025-06-06,Caducado
ae04ae89-e167-4e38-a074-9827089a29b8,Tablet,MX01,50,2025-04-18,Caducado
51143637-87ba-4e93-a4c0-7c42d57be33e,Laptop,MX01,20,2025-04-27,Caducado
df93216d-6bfd-49ee-b6ac-acc3e6c5536f,Laptop,MX01,50,2025-05-30,Bueno
6e132462-0508-430f-a6e2-a955f8b68b12,Laptop,CN03,50,2025-04-09,Dañado
2a6e518b-5f07-43e3-9850-ba8eac3d4267,Laptop,US02,1000,2025-05-06,Caducado
164766a8-a2e3-4392-9a7f-c1b0b9a58231,Impresora,CN03,1000,2025-04-02,Bueno
7ea8654c-e588-4db4-8ece-97894758fb0f,Smartphone,MX01,1000,2025-05-07,Caducado
a7f251e2-6cca-48f7-a083-45cf04ee91ae,Tablet,MX01,50,2025-06-06,Bueno
8c615130-e113-44db-9df4-f118f823fe4b,Smartphone,CN03,0,2025-05-08,Caducado
3f5cb717-e828-4c0a-9816-946b143f6afc,Smartphone,MX01,50,2025-04-11,Caducado
07f697c2-3afc-4cfe-b469-8c4e8693c847,Tablet,US02,20,2025-04-25,Dañado
e13cded9-dd64-424f-a9c0-64fd764edbc4,Monitor,MX01,5,2025-05-31,Bueno
27c07f7e-3ef2-44d4-ae4e-51ac2e30c629,Tablet,US02,1000,2025-04-30,Dañado
d4569888-38a2-42b2-9a5a-9ec830c874cc,Tablet,US02,20,2025-06-08,Bueno
1d04a09d-1815-4dc5-ae4d-5b849f2b9c80,Laptop,CN03,1000,2025-05-15,Caducado
b9db357c-cc12-4892-a6f4-6fd1991081a5,Tablet,CN03,1000,2025-06-13,Bueno
c3e0d003-f80a-49c3-8ec5-64dba7cef2ff,Monitor,US02,50,2025-05-07,Dañado
78094749-d3ba-4708-b24d-405687b86189,Tablet,US02,5,2025-05-08,Caducado
ace48725-337d-41e5-8c8b-8efa10195f08,Tablet,MX01,50,2025-05-31,Bueno
77beca09-e0da-4452-98ac-632f85ca542d,Impresora,US02,1000,2025-06-02,Caducado
b1fae990-26e1-42f6-96f7-443e564abc7c,Smartphone,CN03,50,2025-06-12,Dañado
8721f907-b53f-4e99-955b-1c473b665ef9,Laptop,CN03,0,2025-05-28,Caducado
1ff7a101-7fce-4406-af1c-b8e177233214,Laptop,MX01,50,2025-04-11,Caducado
a17debb0-259e-440a-8161-ecf659103f22,Laptop,US02,0,2025-05-31,Dañado
e45d8016-cef0-4c25-adc1-9ebebe789ee8,Smartphone,MX01,0,2025-05-03,Dañado
e3d3aa64-e43e-4820-944f-4d5357ebab72,Laptop,CN03,20,2025-06-12,Dañado
5419b2c9-25e8-4efa-b083-4671fb97b234,Impresora,MX01,5,2025-06-02,Caducado
0ea914ed-f11b-4e63-abb2-ad4427d9ae32,Tablet,MX01,20,2025-05-11,Caducado
f17aa644-d52f-48e2-8e72-46226dd1f04c,Monitor,MX01,0,2025-04-15,Bueno
90943780-9ff0-4c76-9b9d-1fc6a53f80a3,Laptop,US02,0,2025-04-30,Caducado
a83bfaa3-1d42-4412-8ff0-1c24607ed7c0,Impresora,MX01,1000,2025-06-10,Dañado
6d483c00-5770-40b6-b72d-197184e5e657,Laptop,MX01,0,2025-04-29,Caducado
0af81456-84ae-4788-905a-bcd0fdd05861,Impresora,US02,50,2025-05-07,Bueno
ed79b9ce-7973-4126-8ac9-9a251ad40039,Monitor,MX01,50,2025-04-21,Dañado
fc9e33ea-3c63-4f1f-ace5-6fe45b185e25,Impresora,US02,20,2025-06-15,Bueno
e0c23d76-605b-418a-93b6-b72512378e5c,Tablet,MX01,50,2025-06-19,Bueno
ea29cde4-fc79-4a9b-b890-6b6b55483282,Impresora,MX01,20,2025-06-22,Bueno
91a5d0e2-0742-49a4-be58-c124635a1dcb,Monitor,MX01,5,2025-05-05,Bueno
4dd9d09b-eb05-4ba9-93db-cda4e955a3c0,Smartphone,CN03,1000,2025-05-16,Dañado
fe0ecbba-5eff-4591-ac8b-3341bc97c531,Monitor,CN03,0,2025-04-08,Bueno
c7cead8d-8d5b-40d0-913b-fc7629be0b1d,Monitor,US02,1000,2025-05-11,Caducado
bea8c479-2cce-4a66-b9e0-4ea1a10a528b,Laptop,MX01,20,2025-04-30,Caducado
4062ce98-f31b-4d12-b501-a954bbb40e0d,Impresora,US02,50,2025-05-10,Caducado
88e8d56c-dbb1-405f-be0b-91c1ef36b0ba,Smartphone,MX01,5,2025-05-17,Bueno
29e6c431-507a-476a-a9f0-85b489066bab,Smartphone,US02,50,2025-06-18,Bueno
9924e0a8-ca82-4e36-9312-55d4a610bb37,Monitor,US02,0,2025-05-12,Caducado
b5829234-6c45-476b-9434-67aa40974cb2,Laptop,MX01,5,2025-04-06,Dañado
77f47b23-cc84-4dcf-b1d4-61ab09510db7,Tablet,US02,50,2025-05-06,Bueno
8d0ad36e-efe0-4480-bf59-65aa792fe053,Monitor,US02,5,2025-06-21,Dañado
98963c6d-1ef2-41d9-b0db-71032c89a20f,Smartphone,MX01,50,2025-04-13,Caducado
2648d59d-0a62-4cb6-bb05-a84ee37cd567,Monitor,CN03,20,2025-04-22,Dañado
6ffc40ee-9bc3-4421-b934-73a7b7b1e53b,Tablet,CN03,0,2025-05-23,Caducado
348d24d1-88af-48c7-9774-a47fbd04e194,Tablet,MX01,1000,2025-05-18,Bueno
14e9e2c5-e949-4a07-bff3-a7e989cd7175,Monitor,CN03,0,2025-04-28,Dañado
d27150ec-435e-4980-9221-2e3efef9b72d,Smartphone,MX01,1000,2025-05-12,Caducado
c40ac2bf-c81f-4a6c-9b15-b5ee79f5d426,Tablet,MX01,50,2025-05-18,Dañado
da55f7e4-c46d-4ae4-ad47-ee87dc5f96c2,Tablet,CN03,5,2025-04-25,Bueno
50eafed0-28a2-4615-b6f8-d8a72fcba195,Tablet,CN03,20,2025-06-17,Caducado
4e180029-ffdf-4afc-af9e-6699d0114121,Monitor,US02,5,2025-04-26,Bueno
8c9ed3c5-7e7b-43ab-a6f6-36500396de24,Impresora,MX01,5,2025-04-30,Bueno
a1a72991-7554-453a-8c50-67bd53c86826,Monitor,CN03,1000,2025-05-04,Dañado
583bd2eb-7c1c-4fc3-80ad-399042abffc9,Laptop,US02,1000,2025-04-20,Caducado
8e9f1549-a6bc-4a76-adc5-71f58e108262,Laptop,MX01,50,2025-04-23,Dañado
88b7b4a0-029f-40a7-ac72-ee376b8ce304,Smartphone,US02,0,2025-06-16,Dañado
ef35600a-1c95-4959-8abc-f5614bafc665,Smartphone,CN03,50,2025-05-08,Caducado
f85d270c-30e8-4296-a63f-40a76696f62d,Tablet,US02,20,2025-05-14,Dañado
a3783957-4a75-4ea3-a603-f5733f9d4bb4,Impresora,MX01,20,2025-05-18,Bueno
02de4d15-116c-43be-b089-85deaed9b904,Impresora,US02,50,2025-04-29,Bueno
c261507e-3d09-49ac-a354-3b747b93d622,Monitor,US02,1000,2025-05-29,Bueno
3a6cab2d-081d-4ed6-9807-babbe375a1d2,Impresora,CN03,1000,2025-05-28,Bueno
7cb263db-f081-4887-b3da-6c3ceacb2cff,Tablet,MX01,50,2025-06-11,Dañado
f2e412fd-92ef-4905-9399-91b1188c23da,Monitor,CN03,50,2025-06-21,Caducado
a4f7e296-25d6-4362-b046-a5d6b1927c49,Impresora,US02,0,2025-06-18,Caducado
e4513772-43f5-4584-bc9b-0b32bfef48eb,Tablet,CN03,1000,2025-05-06,Bueno
f220aeb2-51b2-4482-9668-9139540ff39c,Tablet,CN03,5,2025-04-19,Dañado
624ea101-eeec-4d7a-b19e-ccdc19b7f34f,Smartphone,CN03,0,2025-06-05,Bueno
f6713a75-1d38-4705-bb54-0001a55adc8a,Tablet,MX01,50,2025-04-04,Caducado
f9586074-5c2e-4610-a861-451fd159bb40,Impresora,MX01,50,2025-06-04,Bueno
d8fa1450-db2a-4eba-83a2-8fd264cbd2e8,Impresora,US02,1000,2025-03-29,Bueno
9bffb294-3016-4c77-8d48-3feeb5836b44,Laptop,CN03,20,2025-05-26,Caducado
7a562b33-7570-4a5b-9dc4-c0b895fd27ed,Impresora,US02,0,2025-04-04,Caducado
013e8bbd-bd06-4873-8332-438eae5088bb,Smartphone,CN03,50,2025-05-30,Caducado
1dce8d8f-bfbe-4a48-912e-4056cd521a26,Impresora,US02,20,2025-04-01,Dañado
5ec13526-4b3e-4724-80ca-bdf66e9a16d3,Smartphone,US02,5,2025-03-31,Bueno
48560dfe-fd36-402b-80df-317ff524c049,Impresora,CN03,20,2025-04-22,Caducado
ca9df838-eb10-4195-af04-ded4c1a46f15,Impresora,MX01,1000,2025-05-11,Caducado
167d5cbb-5415-4ee9-b7c1-02958eea0354,Impresora,US02,5,2025-06-22,Bueno
851cfcb2-2c02-49a7-ab4a-809471f3a196,Laptop,CN03,5,2025-06-03,Bueno
92eb3b41-13fe-4f3a-9721-450f5c7fa9d4,Laptop,CN03,20,2025-03-29,Bueno
607bed1c-2939-4265-9f54-6bad3055e829,Tablet,MX01,50,2025-05-19,Bueno
a62170ab-87f3-4dcc-8466-42e0eca71331,Impresora,CN03,50,2025-05-12,Bueno
1b827e7f-0f34-4ee8-94f2-f27578ee8a3c,Tablet,MX01,50,2025-04-07,Dañado
3a1d6da0-44e2-474e-a36c-01171cac9078,Laptop,MX01,20,2025-04-11,Bueno
8b885208-751b-4a1f-aa44-b36810446c47,Impresora,CN03,0,2025-05-24,Caducado
779c8e62-d6d8-49c6-a6f4-69cfee876505,Tablet,MX01,50,2025-03-31,Dañado
4551cbdb-c175-4ff7-83ec-6668d4aa89d8,Impresora,MX01,20,2025-04-13,Dañado
16f3dd4a-e6f8-44d7-b2df-23ca426e2a10,Monitor,CN03,0,2025-05-22,Dañado
21a29db9-4a6b-4edd-9015-332e0a6fa810,Monitor,US02,1000,2025-05-06,Caducado
04723e8a-92fa-4820-9043-cfe43de18bf1,Tablet,CN03,20,2025-05-01,Bueno
49dc2409-5333-4900-83a6-59da3c013e2a,Laptop,MX01,1000,2025-04-21,Bueno
686ef0ad-af2e-4619-ad93-59d3cdb1705e,Impresora,US02,1000,2025-04-10,Caducado
8aa0ac7e-5962-4a83-b0d3-857b9407188d,Tablet,US02,20,2025-05-14,Dañado
fd04b1ef-c39a-43bc-b62b-526bf6b34c31,Laptop,CN03,0,2025-05-21,Dañado
28ca58b2-ffcf-4aa3-9c37-5a6e0d9b91a2,Impresora,US02,20,2025-04-19,Bueno
4dca0078-4c45-42e9-afbe-7282d5db17bb,Monitor,US02,20,2025-05-23,Caducado
c7cb0185-42f5-48ee-9080-e870b06380b6,Monitor,MX01,20,2025-06-05,Dañado
71d7ee4a-aa8f-4042-a759-0f7d7ae044ab,Tablet,MX01,20,2025-04-23,Caducado
c3a795a7-4832-4f85-9640-2a9b4f1c4a6b,Impresora,CN03,5,2025-04-18,Bueno
1fbe141a-7fa5-42b3-9018-ab4a85bee6f6,Smartphone,MX01,20,2025-04-30,Dañado
c49fbdee-e75a-46b0-a934-78593a84f973,Tablet,CN03,0,2025-06-07,Caducado
90ab6317-bb8f-44f6-9820-68e831332335,Laptop,CN03,1000,2025-06-11,Dañado
4e6801c1-35ac-4f6f-a8cb-71f66287b58c,Smartphone,US02,5,2025-05-24,Bueno
b8c1d9ba-aceb-477e-a39a-d360399d6bf5,Smartphone,CN03,0,2025-04-03,Dañado
94254182-cde9-4060-bef0-ce362d359090,Monitor,MX01,20,2025-04-04,Bueno
643a7fe0-a652-449d-a2d1-1aad71dffa19,Impresora,US02,50,2025-04-28,Caducado
4114f23c-cca9-4d56-aa27-750ef4605503,Tablet,US02,50,2025-04-12,Dañado
b188b6fe-dfaa-4ff5-bb47-1a0765b59e79,Laptop,US02,20,2025-06-06,Caducado
8733a4b6-ae3c-4792-9b68-f4bfd6ca36f8,Impresora,CN03,20,2025-06-21,Bueno
cac087a0-2313-4bcf-a284-3a7b9e096c4b,Smartphone,MX01,50,2025-05-31,Caducado
cddda446-e0b4-4a6c-b8b6-80a582f7e794,Smartphone,MX01,20,2025-04-07,Bueno
1e07e6ba-e009-4054-bb4a-b1c8b0211e73,Tablet,US02,1000,2025-06-04,Caducado
d2cff85d-1884-4cdf-8c97-d4ddf8c545f8,Laptop,MX01,20,2025-06-18,Bueno
6bf06c70-5dc3-4b0b-b530-47c4270ea92b,Smartphone,US02,50,2025-04-09,Caducado
7de890e1-aef7-4ba2-b5dc-28c0b296870b,Tablet,CN03,1000,2025-05-10,Bueno
e2ef60b1-2ba3-4151-b7ed-6d3210bb5c9e,Smartphone,MX01,50,2025-03-28,Dañado
f696d145-01f8-48b7-afe3-436cfbaacbba,Impresora,US02,50,2025-04-10,Bueno
36d06342-0875-44f7-b975-83fa0b330e5f,Monitor,MX01,20,2025-04-25,Caducado
fc22c13c-9258-448b-a114-ef6a682ca3fe,Tablet,CN03,20,2025-05-30,Caducado
2398de7f-5288-4a40-b54b-e9cc28f73a1b,Smartphone,MX01,50,2025-04-15,Caducado
56feb8a2-e4ab-4d74-b11f-a053034814f8,Smartphone,MX01,1000,2025-05-28,Caducado
af676e6f-122b-4ed0-9763-5dad9905d43d,Tablet,US02,50,2025-06-09,Dañado
4f6db64d-f0d9-45b3-a569-6dc766c3a81a,Smartphone,MX01,20,2025-05-18,Dañado
a8f5b423-8255-4ef7-8eb1-416e6251b81d,Smartphone,CN03,20,2025-05-07,Caducado
a8c254a6-8e5a-4540-95dd-7b1f5eab7977,Monitor,CN03,50,2025-05-06,Bueno
a44d4dc0-a3f6-4894-ba63-c5f381cf8aae,Monitor,US02,20,2025-04-11,Bueno
7f55c469-9ec1-4b99-877f-fcc41ad698d3,Impresora,US02,50,2025-05-25,Dañado
1e225f07-7159-4399-bfa2-7808f8fc8159,Impresora,MX01,1000,2025-04-09,Caducado
17479b1e-e57a-4a43-ad2e-f42b54e5b53f,Tablet,MX01,5,2025-04-20,Caducado
403f31d7-bd72-4295-a093-3821a9369526,Tablet,US02,5,2025-04-24,Bueno
caeaf2ed-2c8a-46ea-be29-bf44d8314722,Laptop,MX01,5,2025-04-13,Caducado
13257af9-b4f8-4aa4-b517-be7996209347,Smartphone,CN03,50,2025-05-02,Dañado
a0829589-7f0e-40b5-91fd-30a8afc33a17,Smartphone,US02,50,2025-06-06,Caducado
82bcc361-8def-4a15-8531-d57ba71a3cb0,Smartphone,MX01,1000,2025-05-25,Bueno
d5fa57c5-f789-4705-b398-25fa89b69d5d,Monitor,CN03,0,2025-06-02,Caducado
745c105b-5226-4cd8-b80e-95209374848e,Impresora,CN03,5,2025-03-24,Dañado
05736f2a-2154-401e-9496-2020000277c6,Tablet,CN03,50,2025-04-23,Caducado
6dd9c382-f361-414a-9e1b-7f1fdb3ff62d,Laptop,MX01,50,2025-06-12,Caducado
cb30d7c5-7ce0-4d22-805d-cddf7a56daaf,Monitor,CN03,0,2025-03-30,Bueno
34204dda-c9d8-4a74-8cf0-23f69325e6ec,Impresora,CN03,0,2025-04-08,Caducado
9bfe1006-dc86-43d1-a969-fb3bcfaff57f,Monitor,US02,1000,2025-03-28,Bueno
8e6bd34a-f488-453a-bfa6-cafcf70c2ae4,Impresora,CN03,1000,2025-05-08,Bueno
3ed2179f-6164-46dd-a0f1-a7d0cc9f0677,Laptop,MX01,50,2025-04-16,Caducado
bd2b23bc-77a1-4ef5-a594-498fb92b3ebd,Monitor,US02,50,2025-04-19,Dañado
fe26a5d5-b1b9-4f34-bd14-2122eade33d2,Monitor,US02,5,2025-04-08,Caducado
d40ce216-01e8-4b8e-b671-387c38a33465,Smartphone,CN03,0,2025-04-24,Caducado
e202aabc-d155-49ce-9346-d6080429dbc4,Tablet,US02,50,2025-04-01,Bueno
78e83ba9-fc93-4a58-959a-6619eb4f410e,Tablet,CN03,50,2025-04-06,Dañado
1df191c7-6b22-4b37-9715-f9ee91484ea4,Laptop,CN03,1000,2025-04-19,Bueno
b7527f1f-f17d-460d-964e-fd999c281c5e,Impresora,MX01,0,2025-05-01,Bueno
0bc834e4-33e3-4cad-a283-f2e791155e4a,Tablet,MX01,0,2025-06-05,Dañado
